Date,DXY,DXY_mom_1m,DXY_mom_3m,DXY_mom_6m,DXY_mom_12m,DXY_vol_6m,DXY_mom_12m_lag1,DXY_mom_12m_lag3,DXY_mom_12m_lag6,Brazil_depr_12m,Brazil_vol_6m,Brazil_depr_lag1,Brazil_depr_lag3,Russia_depr_12m,Russia_vol_6m,Russia_depr_lag1,Russia_depr_lag3,India_depr_12m,India_vol_6m,India_depr_lag1,India_depr_lag3,China_depr_12m,China_vol_6m,China_depr_lag1,China_depr_lag3,South_Africa_depr_12m,South_Africa_vol_6m,South_Africa_depr_lag1,South_Africa_depr_lag3,Germany_EU_depr_12m,Germany_EU_vol_6m,Germany_EU_depr_lag1,Germany_EU_depr_lag3,Japan_depr_12m,Japan_vol_6m,Japan_depr_lag1,Japan_depr_lag3,UK_depr_12m,UK_vol_6m,UK_depr_lag1,UK_depr_lag3,Canada_depr_12m,Canada_vol_6m,Canada_depr_lag1,Canada_depr_lag3,Oil_WTI,Oil_mom_3m,Oil_mom_12m,Oil_mom_12m_lag3,Oil_DXY_ratio,Gold,Gold_mom_3m,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield,US_CPI_yoy,Fed_Rate_chg_3m,BRICS_avg_depr,BRICS_avg_depr_lag1,BRICS_avg_depr_lag3,BRICS_max_depr,Oil_DXY_inv,DSI
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,169.3,4667.6,6.66,,,,,,,,58.30290552672202
2000-01-31,105.12999725341795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30290552672202
2000-02-01,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,170.0,4680.9,6.52,,,,,,,,58.30290552672202
2000-02-29,105.91999816894533,0.7514514754747514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30290552672202
2000-03-01,,0.0,0.7514514754747514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,171.0,4711.7,6.26,,,,,,,,58.30290552672202
2000-03-31,105.44000244140624,-0.4531681796042797,0.29487795689846497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30290552672202
2000-04-01,,0.0,-0.4531681796042797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,170.9,4767.8,5.99,,,,,,,,58.30290552672202
2000-04-30,110.13999938964844,4.457508383361453,3.984140194160579,4.765530549909336,,1.836835827758961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8980219273114827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30290552672202
2000-05-01,,0.0,4.457508383361453,4.765530549909336,,1.836835827758961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8980219273114827,,,,,,,,,,,,,,,,,,6.27,171.2,4755.7,6.44,,,,,,,,58.30290552672202
2000-05-31,108.73999786376952,-1.2711108894472134,3.1297376194552973,2.662386464854549,,2.0221461305214428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.688498739296374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.30290552672202
