Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2000-01-01,,,,,,,,,,,,,5.45,169.3,4667.6,6.66
2000-01-31,,,,,,,107.19999694824219,,,105.12999725341797,,,,,,
2000-02-01,,,,,,,,,,,,,5.73,170.0,4680.9,6.52
2000-02-29,,,,,,,110.19000244140625,,,105.91999816894531,,,,,,
2000-03-01,,,,,,,,,,,,,5.85,171.0,4711.7,6.26
2000-03-31,,,,,,,102.95999908447266,,,105.44000244140625,,,,,,
2000-04-01,,,,,,,,,,,,,6.02,170.9,4767.8,5.99
2000-04-30,,,,,,,108.1500015258789,,,110.13999938964844,,,,,,
2000-05-01,,,,,,,,,,,,,6.27,171.2,4755.7,6.44
2000-05-31,,,,,,,107.62999725341797,,,108.73999786376953,,,,,,
2000-06-01,,,,,,,,,,,,,6.53,172.2,4773.6,6.1
2000-06-30,,,,,,,106.01000213623047,,,106.83999633789062,,,,,,
2000-07-01,,,,,,,,,,,,,6.54,172.7,4791.3,6.05
2000-07-31,,,,,,,109.33000183105469,,,109.56999969482422,,,,,,
2000-08-01,,,,,,,,,,,,,6.5,172.7,4819.5,5.83
2000-08-31,,,,,,,106.66999816894531,,,112.5999984741211,33.099998474121094,278.29998779296875,,,,
2000-09-01,,,,,,,,,,,,,6.52,173.6,4855.2,5.8
2000-09-30,,,,,,,108.12999725341797,,,113.25,30.860000610351562,273.6000061035156,,,,
2000-10-01,,,,,,,,,,,,,6.51,173.9,4871.3,5.74
2000-10-31,,,,,,,108.79000091552734,,,116.6500015258789,32.689998626708984,264.8999938964844,,,,
2000-11-01,,,,,,,,,,,,,6.51,174.2,4882.7,5.72
2000-11-30,,,,,,,110.37000274658203,,,115.23999786376953,33.79999923706055,270.1000061035156,,,,
2000-12-01,,,,,,,,,,,,,6.4,174.6,4927.6,5.24
2000-12-31,,,,,,,114.37999725341797,,,109.55999755859375,26.799999237060547,272.0,,,,
2001-01-01,,,,,,,,,,,,,5.98,175.6,4978.3,5.16
2001-01-31,,,,,,,116.68000030517578,,,110.5199966430664,28.700000762939453,265.6000061035156,,,,
2001-02-01,,,,,,,,,,,,,5.49,176.0,5017.0,5.1
2001-02-28,,,,,,,117.38999938964844,,,112.01000213623047,27.420000076293945,266.79998779296875,,,,
2001-03-01,,,,,,,,,,,,,5.31,176.1,5074.8,4.89
2001-03-31,,,,,,,126.2300033569336,,,117.37000274658203,26.399999618530273,257.8999938964844,,,,
2001-04-01,,,,,,,,,,,,,4.8,176.4,5139.1,5.14
2001-04-30,,,,,,,123.37999725341797,,,115.8499984741211,28.459999084472656,264.0,,,,
2001-05-01,,,,,,,,,,,,,4.21,177.3,5137.2,5.39
