Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2019-11-30,2.3801754,1.3243396,0.29322606,-1.236604,0.1991307
2019-12-01,2.3801754,1.3243396,0.29322606,-1.236604,0.1991307
2019-12-31,2.1209648,0.977461,0.34978002,-0.53912866,-0.0030300007
2020-01-01,2.1275325,0.98354477,0.4550542,-0.33228573,-0.025395652
2020-01-31,1.8409426,-1.2993816,-0.6427259,-1.4289963,0.18893601
2020-02-01,0.7588222,-1.2780055,-0.46573648,-1.613188,0.07832079
2020-02-29,0.63844806,-3.1184673,0.14483407,-1.8124815,-2.8285723
2020-03-01,0.44819674,-2.818389,-0.5352319,-2.3324432,-4.3215733
2020-03-31,0.18462239,-1.8808511,-1.9447906,-2.4391322,-4.787994
2020-04-01,2.0349452,1.0172735,-1.702097,12.143018,-1.4196378
2020-04-30,2.2137113,0.9080123,0.0960853,12.23332,-1.2976627
2020-05-01,2.2137113,0.9080123,0.0960853,12.23332,-1.2976627
2020-05-31,2.300077,0.9190183,0.67234296,12.25683,-1.237732
2020-06-01,2.3391097,0.9046005,0.76638955,12.407055,-1.254811
2020-06-30,2.1351345,0.7301333,0.9557367,12.418974,-1.1760712
2020-07-01,2.2018545,0.8725413,1.0127834,12.146219,-1.1865242
2020-07-31,3.153741,1.2296544,1.1177394,12.660877,-0.93412715
2020-08-01,3.1525218,1.3150476,1.0076512,12.174065,-0.8229296
2020-08-31,2.9634922,0.1756982,1.226498,11.879635,-0.392801
2020-09-01,2.964711,0.08948507,1.3365862,12.365629,-0.50235915
2020-09-30,3.153741,1.2296544,1.1177394,12.660877,-0.93412715
2020-10-01,3.153741,1.2296544,1.1177394,12.660877,-0.93412715
2020-10-31,3.3436723,1.2626647,1.0951495,12.615156,-1.0015688
2020-11-01,3.3436723,1.2626647,1.0951495,12.615156,-1.0015688
2020-11-30,2.9984767,-0.21628053,1.4391305,12.048634,-0.29750633
2020-12-01,2.9984767,-0.21628053,1.4391305,12.048634,-0.29750633
2020-12-31,2.2753487,-2.6590552,1.7749702,11.797502,1.4381912
2021-01-01,2.2753487,-2.6590552,1.7749702,11.797502,1.4381912
2021-01-31,3.1236498,1.0557683,1.7427698,11.569622,2.8781888
2021-02-01,3.0088618,1.0074011,1.6794703,11.887775,2.8886416
2021-02-28,2.9245422,-0.33304197,1.612126,10.998972,2.5947647
2021-03-01,2.8776462,-0.3817088,1.3742144,10.934363,3.6648214
2021-03-31,3.3338897,2.4637969,0.55830234,11.045199,3.7648168
2021-04-01,4.1406655,2.3302844,0.47293258,11.302515,1.5302379
2021-04-30,3.4896011,-0.1455394,1.5913117,10.80777,1.3993348
2021-05-01,2.819344,-0.0062128636,1.6855026,10.5959015,3.8388252
2021-05-31,2.1016366,-0.04786735,1.631163,10.600758,4.3756075
2021-06-01,2.2873542,-0.15627894,1.7707344,10.655625,3.069164
2021-06-30,2.5887067,0.61493355,1.940437,10.139901,2.1799235
2021-07-01,2.6876864,0.71839476,1.7871454,9.191253,2.3704512
2021-07-31,2.7006469,0.718372,1.7957555,9.1991,2.341057
2021-08-01,2.7018654,0.677513,1.9058436,9.730447,2.1407912
2021-08-31,3.4083173,1.1313765,1.8447458,9.7610445,1.8463246
2021-09-01,3.2935295,1.0749503,1.7854757,10.083225,1.8567772
2021-09-30,3.1492183,0.6985246,1.835849,10.136652,2.0971181
2021-10-01,3.1597736,0.75639683,1.7104955,10.222268,3.2710514
2021-10-31,2.900166,0.8371889,1.6462009,9.914948,3.3599331
2021-11-01,2.900166,0.8371889,1.6462009,9.914948,3.3599331
2021-11-30,3.3764837,0.7305785,1.4809115,10.743547,3.046999
2021-12-01,3.3107572,0.56161106,1.5770135,10.652546,1.7217427
2021-12-31,1.9655669,0.7750628,1.646346,9.948219,1.7509012
2022-01-01,2.8448849,0.61482775,1.394457,10.306321,1.8162633
2022-01-31,3.0956671,0.508536,1.4514422,9.973935,1.6622927
2022-02-01,3.4629662,-0.35227066,0.41789028,9.767319,2.1472373
2022-02-28,3.4501755,-1.0441163,0.36308774,9.152896,1.9459302
2022-03-01,1.8988539,0.40482658,0.19121952,0.9592145,2.8799045
2022-03-31,2.2018037,-0.13277331,0.28535062,0.94291556,2.7745154
2022-04-01,2.902094,0.6729726,0.21644635,3.0315855,-1.0590372
2022-04-30,2.7637126,2.8908942,0.45984307,3.444315,-1.0461547
2022-05-01,2.3293605,3.8798363,0.59349114,2.2507067,3.5479274
2022-05-31,2.3153765,3.673139,0.49250937,2.189937,3.5456283
2022-06-01,2.9783635,3.454926,0.66591364,1.3548154,-0.55127174
2022-06-30,2.9753518,2.7214372,1.0984335,1.3279874,-0.61735356
2022-07-01,2.5264719,3.1746802,1.4744265,3.0479314,4.5657544
2022-07-31,2.2376864,2.4771214,1.473802,2.6705627,5.1211524
2022-08-01,2.6308844,1.1206948,1.4840277,-1.7540976,5.151591
2022-08-31,2.5665336,-0.3170004,0.44473478,-1.8263198,4.8028674
2022-09-01,3.1148834,-0.6528391,0.4921973,-1.2986377,1.0477432
2022-09-30,3.1971195,0.10975326,0.66876847,-1.3231363,0.94610906
2022-10-01,2.951267,0.12464251,0.7955339,-1.455798,0.68806905
2022-10-31,2.9044883,0.36081892,0.9270499,-1.3614656,0.73904884
2022-11-01,2.8696585,0.090501584,0.9546045,-1.9533434,0.9080187
2022-11-30,2.7457309,-0.122114845,1.6543999,-2.128221,0.80331075
2022-12-01,3.2219694,-0.4060071,1.6488472,-3.7178586,0.6054269
2022-12-31,3.2584329,-0.40468335,1.6537416,-3.7285445,0.59480494
2023-01-01,3.2830434,-0.4870838,1.374713,-3.6164627,1.5793638
2023-01-31,3.2745743,-0.5467692,1.3359159,-3.6048028,1.5800962
2023-02-01,2.7555962,-1.2162471,1.6864519,-8.0488825,0.5508844
2023-02-28,2.846532,-1.5240254,1.678521,-8.030363,0.5035427
2023-03-01,2.9750404,-1.5164555,1.6589692,-8.002344,0.5692125
2023-03-31,2.9750404,-1.5164555,1.6589692,-8.002344,0.5692125
2023-04-01,3.22835,-1.7084618,1.3487068,-6.8895288,0.28768495
2023-04-30,3.22835,-1.7084618,1.3487068,-6.8895288,0.28768495
2023-05-01,3.0557575,-1.408997,1.5959566,-5.608996,0.46247122
2023-05-31,3.5888176,-0.5720596,1.5820593,-5.3997254,0.42757723
2023-06-01,3.4157708,-0.5935165,1.6028425,-5.4267864,0.35021088
2023-06-30,3.254939,-1.6134309,1.5992385,-5.2450075,0.3491779
2023-07-01,3.1695125,-1.5529844,1.4941791,-5.0591316,0.79588324
2023-07-31,2.7654662,-1.0788379,1.5177041,-5.3987436,0.8846927
2023-08-01,2.557163,-0.5754365,1.1116458,-2.3274846,-0.44551522
2023-08-31,2.557163,-0.5754365,1.1116458,-2.3274846,-0.44551522
2023-09-01,2.557163,-0.5772724,1.1196411,-2.330469,-0.4486901
2023-09-30,2.5171046,-1.325098,1.0158024,-2.375143,-0.39475042
2023-10-01,1.734952,-1.9995402,1.1955553,-1.9177194,-2.399323
2023-10-31,1.7835668,-1.2816947,1.3015022,-2.0002267,-2.5465486
2023-11-01,2.583573,-0.5191798,1.1469749,-2.4029062,-0.48808935
2023-11-30,2.666041,-0.86897266,1.1388427,-2.381014,-0.53628963
2023-12-01,2.8719857,-0.50637764,1.2560198,-2.3947916,0.28398985
2023-12-31,3.043573,-0.37693018,1.3081006,-2.4394453,0.29865935
2024-01-01,3.0499752,-0.37332433,1.3076706,-2.4396667,0.2893032
2024-01-31,2.878388,-0.5027718,1.2555898,-2.395013,0.2746337
2024-02-01,2.6481867,-0.8619244,1.1056219,-2.3795612,-0.49371555
2024-02-29,2.5572498,-0.55414593,1.1135528,-2.3980808,-0.44637406
2024-03-01,2.5572498,-0.55414593,1.1135528,-2.3980808,-0.44637406
