Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2019-11-30,1.5040704,0.20622642,0.004222832,-0.5403145,1.3906947
2019-12-01,1.5040704,0.20622642,0.004222832,-0.5403145,1.3906947
2019-12-31,1.4569466,-0.12825175,0.030068388,-0.61512095,1.4465626
2020-01-01,1.5471644,-0.10868451,0.03690805,-0.5658995,1.1906437
2020-01-31,1.5784141,0.22806753,-0.020608563,-0.5475935,1.0641845
2020-02-01,1.5450293,0.31280673,0.02308303,-0.5328691,1.6236674
2020-02-29,1.5514201,0.29997447,0.016139762,-0.5336514,1.5918611
2020-03-01,1.2927611,0.35348725,-0.21555918,0.44182223,1.5278517
2020-03-31,1.7420627,0.083934344,-0.1508657,0.42942417,1.6006795
2020-04-01,1.5018251,-0.038726326,-0.10979417,-0.047171656,1.6537129
2020-04-30,1.5830691,-0.053221114,-0.25557944,-0.08639031,1.5842632
2020-05-01,1.5830691,-0.053221114,-0.25557944,-0.08639031,1.5842632
2020-05-31,1.1000581,0.021997787,-0.31234553,-0.09191877,1.409161
2020-06-01,1.0925088,0.017102135,-0.21212302,-0.32896632,1.419858
2020-06-30,1.1237689,0.10598003,-0.21088575,-0.3260237,1.4476002
2020-07-01,1.147241,0.13478366,-0.21608189,-0.15855628,1.4543813
2020-07-31,0.81317776,0.14274776,-0.28122288,-0.081085466,1.630084
2020-08-01,0.81527853,0.15725023,-0.29351446,0.08105948,1.625554
2020-08-31,-0.62844014,0.35635665,-0.5442778,0.46575937,1.4484537
2020-09-01,-0.66064787,0.34185424,-0.5357343,0.27350736,1.4529837
2020-09-30,0.81317776,0.14274776,-0.28122288,-0.081085466,1.630084
2020-10-01,0.81317776,0.14274776,-0.28122288,-0.081085466,1.630084
2020-10-31,0.87549084,0.065967724,-0.22154164,-0.10858236,1.6149848
2020-11-01,0.87549084,0.065967724,-0.22154164,-0.10858236,1.6149848
2020-11-30,-0.58324903,0.34970194,-0.53580225,0.26855713,1.4555755
2020-12-01,-0.58324903,0.34970194,-0.53580225,0.26855713,1.4555755
2020-12-31,-0.5610083,0.34310547,-0.5250672,0.26838076,1.4602718
2021-01-01,-0.5610083,0.34310547,-0.5250672,0.26838076,1.4602718
2021-01-31,-0.47025412,0.40684268,-0.48347515,0.26325855,1.511526
2021-02-01,-0.49632674,0.3779908,-0.4783998,0.09325131,1.5061178
2021-02-28,-0.68347514,-0.29655415,-0.47429246,0.089593455,1.3467404
2021-03-01,-0.6786042,-0.29179847,-0.57451487,0.32664093,1.378934
2021-03-31,0.03702292,-0.3142276,-0.4669888,0.14318979,1.5859653
2021-04-01,0.07730024,-0.3285767,-0.52292156,0.09646496,1.2026032
2021-04-30,-0.6336515,-0.2843846,-0.664203,0.26926258,0.9428172
2021-05-01,-0.6245464,-0.29027393,-0.6031149,0.30596694,1.7924341
2021-05-31,-0.9681648,0.50119257,-0.5372058,0.2729462,1.6701232
2021-06-01,-1.0005502,0.5258169,-0.4388239,0.047353838,1.2126884
2021-06-30,-1.0797569,0.5519533,-0.48318812,-0.014400524,1.0756997
2021-07-01,-1.0267624,0.5885848,-0.49680674,0.34205166,1.0778418
2021-07-31,-1.0262861,0.5892617,-0.4452792,0.34205166,1.0811489
2021-08-01,-1.0522922,0.5814821,-0.43673575,0.15652283,1.085679
2021-08-31,-1.01472,0.6889022,-0.42170632,0.15711874,1.0723437
2021-09-01,-1.0417084,0.66005033,-0.41663113,-0.013804603,1.0656716
2021-09-30,1.4497937,1.3378011,-0.24444377,-0.6906826,1.1643384
2021-10-01,1.4471155,1.3376611,-0.24444377,-0.6906826,1.2072289
2021-10-31,1.503655,1.2014816,-0.15920977,-0.59888715,1.2322625
2021-11-01,1.503655,1.2014816,-0.15920977,-0.59888715,1.2322625
2021-11-30,1.8483405,1.5158397,-0.15113558,-0.7468912,1.1934782
2021-12-01,1.8412647,1.5159796,-0.15113558,-0.7468912,1.1408337
2021-12-31,1.6465611,1.6472834,-0.15786727,-0.6924702,1.0791899
2022-01-01,1.7404908,1.7205421,-0.19382395,-0.68116003,0.67879057
2022-01-31,1.9964137,1.4096643,-0.16980001,-0.5459421,0.6223881
2022-02-01,2.0014312,1.396065,-0.19350371,-0.61833984,0.61189204
2022-02-28,1.9969486,1.168598,-0.114470236,-0.5788851,0.55596167
2022-03-01,2.1176558,1.0523866,-0.21765095,-0.41065845,0.35650155
2022-03-31,2.1767962,1.3955714,-0.27172446,-0.43821588,0.35567668
2022-04-01,1.9566257,1.8943654,-0.59783,-0.41748452,-0.7493114
2022-04-30,2.2536416,2.0738785,-0.56517136,-0.32055497,-0.7200675
2022-05-01,2.4751403,1.7455741,-0.32150716,-0.4914657,0.14012696
2022-05-31,2.4715204,1.5918984,-0.27320293,-0.4546117,0.18382779
2022-06-01,2.4860685,1.7199564,-0.28407916,-1.5286565,0.09981141
2022-06-30,2.4734938,1.5584365,-0.29247907,-1.580849,0.09518511
2022-07-01,2.567251,1.6052829,-0.16851676,-1.3495133,0.20263897
2022-07-31,2.7416384,1.6039869,-0.20040676,-1.3526791,0.23495612
2022-08-01,3.125136,1.5104564,0.2779725,-0.5067902,0.4848476
2022-08-31,3.172048,1.3851389,0.32783973,-0.4509654,0.52693474
2022-09-01,3.1437109,1.3579805,0.39054063,-0.5002281,0.12520745
2022-09-30,3.1343153,1.9314613,0.43213192,-0.30668926,0.23499271
2022-10-01,3.121992,1.9686824,0.45939586,-0.46663588,0.3619707
2022-10-31,3.1223516,1.8685932,0.4636125,-0.51161873,0.37692013
2022-11-01,3.1223097,1.9016798,0.46359387,-0.4514023,0.449187
2022-11-30,3.1262655,2.01701,0.42457324,-0.403502,0.44006777
2022-12-01,3.1802652,1.9654951,0.44368875,-0.54908943,0.23152488
2022-12-31,3.1812575,1.9661329,0.4877598,-0.54908943,0.22737539
2023-01-01,3.1246488,1.9645799,0.45261967,-0.31717947,0.2125597
2023-01-31,3.1217682,1.9662944,0.44185773,-0.31852055,0.21325938
2023-02-01,3.1156335,1.966131,0.44250825,-0.31937847,0.19944173
2023-02-28,3.0892992,2.3454995,0.4777849,-0.20700541,0.27309892
2023-03-01,3.0889401,2.333873,0.4781225,-0.19521055,0.2729523
2023-03-31,3.0889401,2.333873,0.4781225,-0.19521055,0.2729523
2023-04-01,3.1053786,2.333698,0.42263618,-0.2174725,0.2127389
2023-04-30,3.1138234,2.333698,0.42263618,-0.22235021,0.20917211
2023-05-01,3.1448479,2.357604,0.49227637,-0.32667544,0.30281112
2023-05-31,3.2256863,2.604534,0.4788607,-0.3208829,0.30074528
2023-06-01,3.2195516,2.6047032,0.47951123,-0.3212205,0.2860745
2023-06-30,3.1841404,2.5371964,0.47989148,-0.31237704,0.27892926
2023-07-01,3.1140313,2.5032413,0.4756756,-0.28696835,0.36180118
2023-07-31,3.0926044,2.003822,0.45317948,-0.37176818,0.35133824
2023-08-01,3.0704765,2.00546,0.44393942,-0.30814558,0.4021832
2023-08-31,3.0704765,2.00546,0.44393942,-0.30814558,0.4021832
2023-09-01,3.0705254,2.0079336,0.444068,-0.28690034,0.43699864
2023-09-30,3.0690303,1.634392,0.42662647,-0.29220873,0.40523046
2023-10-01,3.065898,1.6385646,0.42700636,-0.30918783,0.37917903
2023-10-31,3.064162,2.005502,0.44861376,-0.30425948,0.41431457
2023-11-01,3.0674129,2.0040412,0.4483523,-0.30396134,0.4274968
2023-11-30,3.0381987,2.3306415,0.47971797,-0.22853982,0.4473702
2023-12-01,3.0523696,2.3193898,0.48312894,-0.25285134,0.3851021
2023-12-31,3.116704,2.517221,0.4615762,-0.2444117,0.36423236
2024-01-01,3.1168115,2.523978,0.4615762,-0.24384224,0.356798
2024-01-31,3.0524771,2.3261468,0.48312894,-0.25228187,0.37766773
2024-02-01,3.0380313,2.325395,0.4797911,-0.23310418,0.42516467
2024-02-29,3.064365,1.9962187,0.44451445,-0.3081359,0.40170008
2024-03-01,3.064365,1.9962187,0.44451445,-0.3081359,0.40170008
2024-03-31,3.0704765,2.0053992,0.44425958,-0.30814558,0.4019239
2024-04-01,3.0599399,2.0082688,0.4444479,-0.3109089,0.38298646
2024-04-30,3.0599399,2.0082688,0.4444479,-0.3109089,0.38298646
2024-05-01,3.0705254,2.0096712,0.444068,-0.30339253,0.42515162
2024-05-31,3.0380802,2.3296673,0.47959954,-0.22835094,0.4483924
2024-06-01,3.0380802,2.3279295,0.47959954,-0.21185872,0.4602393
2024-06-30,3.07006,2.016919,0.44823387,-0.28736556,0.4403337
2024-07-01,3.0700111,2.0143843,0.44842544,-0.3086108,0.40525895
2024-07-31,3.0380313,2.3241844,0.48039645,-0.23249887,0.42516467
2024-08-01,3.119493,2.3470614,0.48691446,-0.27555126,0.30922067
2024-08-31,3.1925974,2.5098383,0.47429407,-0.2656387,0.29221034
2024-09-01,3.2033727,2.5193396,0.48124945,-0.31127986,0.27402163
2024-09-30,3.1889825,2.5914314,0.47984883,-0.3161733,0.28183514
2024-10-01,3.075848,2.5596168,0.45739895,-0.17400466,0.3572905
2024-10-31,3.0917993,2.5318575,0.457298,-0.1840018,0.36024874
