Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2019-11-30,1.0512266,-1.5035056,0.2933411,0.35120994,0.40689936
2019-12-01,1.0512266,-1.5035056,0.2933411,0.35120994,0.40689936
2019-12-31,0.6582873,-1.4769173,0.18293616,0.37670553,0.40674248
2020-01-01,0.6930924,-1.4696038,0.13135122,0.37479532,0.30258277
2020-01-31,1.0702132,-1.933768,-0.53867227,0.398919,0.30196562
2020-02-01,0.6019949,-1.8729706,0.25739005,0.4102404,1.305797
2020-02-29,0.60569614,-1.4170243,0.9045947,0.28403625,0.6403001
2020-03-01,0.598608,-1.4040351,0.7517703,-0.404783,0.26063204
2020-03-31,0.26199052,-1.5520144,0.017093435,-0.39281762,0.44750112
2020-04-01,0.619779,-1.0359627,1.1234695,5.092545,1.0137367
2020-04-30,0.9263545,-1.1398282,1.392698,4.95527,0.9823799
2020-05-01,0.9263545,-1.1398282,1.392698,4.95527,0.9823799
2020-05-31,0.76362216,-1.0253956,2.6433048,4.75572,1.0195435
2020-06-01,0.6459612,-1.0133904,2.3694482,4.1861744,0.751154
2020-06-30,0.6834304,-0.90797275,2.0926757,4.156444,0.7357612
2020-07-01,0.69763255,-0.9331237,2.0487778,3.5634809,1.0434594
2020-07-31,1.0414222,-0.9044867,2.020572,3.51218,1.1464536
2020-08-01,0.93967295,-0.8108233,1.822478,2.1538754,1.2675455
2020-08-31,0.98648846,-0.4085976,1.7894746,2.2985501,1.2595242
2020-09-01,1.0882376,-0.50226104,1.9875681,3.656855,1.1384323
2020-09-30,1.0414222,-0.9044867,2.020572,3.51218,1.1464536
2020-10-01,1.0414222,-0.9044867,2.020572,3.51218,1.1464536
2020-10-31,1.036852,-1.0075041,2.0241663,3.5360816,1.147902
2020-11-01,1.036852,-1.0075041,2.0241663,3.5360816,1.147902
2020-11-30,1.1556569,-1.1140434,1.9795882,3.3929868,1.1535345
2020-12-01,1.1556569,-1.1140434,1.9795882,3.3929868,1.1535345
2020-12-31,1.3315835,-1.8571818,2.1119351,3.4275029,1.2956294
2021-01-01,1.3315835,-1.8571818,2.1119351,3.4275029,1.2956294
2021-01-31,1.1709236,-1.4932771,2.1737258,3.4292953,1.5860051
2021-02-01,1.1567215,-1.6047693,2.2176228,3.8856206,1.1148874
2021-02-28,1.119281,-1.1548845,2.4284422,3.8469515,1.2129183
2021-03-01,1.4398034,-1.2612581,2.198821,4.7480555,0.7493931
2021-03-31,1.6683755,-1.3842946,0.7211957,4.8925886,0.6497972
2021-04-01,1.7217257,-1.3997761,0.6629277,4.9118237,0.376542
2021-04-30,1.4992478,-1.1531242,1.8962034,4.751445,0.4495786
2021-05-01,1.4550458,-1.1375027,1.9436744,4.7322097,0.65863633
2021-05-31,1.851715,0.091509335,1.9824576,4.4721947,0.84622616
2021-06-01,1.4912963,0.3134003,2.200497,3.5619056,1.4791573
2021-06-30,1.2303635,1.0575678,2.27355,3.40155,1.6489202
2021-07-01,1.1900055,1.1942294,2.0060453,1.4939967,2.2488096
2021-07-31,1.2070239,1.1975904,2.0263214,1.5012813,2.2143452
2021-08-01,1.2907268,1.187306,2.224414,2.9429667,2.0855732
2021-08-31,1.3115934,1.1869124,2.2363644,2.9696784,1.9923717
2021-09-01,1.2859217,1.0594497,2.2802622,3.4100316,1.5212538
