Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2019-11-30,-0.85488194,-0.35076502,-0.62150925,-1.5474721,-0.95231986
2019-12-01,-0.85488194,-0.35076502,-0.62150925,-1.5474721,-0.95231986
2019-12-31,-0.7592065,-0.43193856,-0.5960025,-1.6905897,-1.0237767
2020-01-01,-0.78252393,-0.45578,-0.57741845,-1.7354847,0.1051785
2020-01-31,-0.9588674,0.017935244,-0.56757545,-2.642065,0.22142138
2020-02-01,-1.5352801,0.1626806,-0.49593392,-2.8410196,-3.9885132
2020-02-29,-1.2232461,0.9810411,-1.025497,-3.2847223,-4.011
2020-03-01,-1.5461594,1.181959,-1.344936,-5.582713,-6.220809
2020-03-31,-1.8458178,1.3424195,-1.2952459,-5.7142878,-6.1452074
2020-04-01,-0.8057516,5.9348297,-1.0219159,15.470942,0.3274658
2020-04-30,-0.4094805,5.924116,-1.327718,15.621191,0.18832123
2020-05-01,-0.4094805,5.924116,-1.327718,15.621191,0.18832123
2020-05-31,-0.6726206,5.6989293,-1.8884498,15.408444,0.055942625
2020-06-01,-0.57703704,5.6939545,-1.7117331,14.968613,0.22860183
2020-06-30,-0.49386492,5.8120575,-0.2665123,14.969865,0.12419617
2020-07-01,-0.1509362,5.895714,-0.3666534,14.435497,0.112972505
2020-07-31,8.23181,6.2804737,-0.14606799,18.440763,2.1661043
2020-08-01,8.747025,6.450215,-0.34780738,19.073446,2.1954093
2020-08-31,8.365602,6.698146,-0.3889909,19.116371,1.9252194
2020-09-01,7.8503857,6.528404,-0.18725155,18.483688,1.8959146
2020-09-30,8.23181,6.2804737,-0.14606799,18.440763,2.1661043
2020-10-01,8.23181,6.2804737,-0.14606799,18.440763,2.1661043
2020-10-31,8.35374,6.2279806,-0.1475991,18.218363,2.3014467
2020-11-01,8.35374,6.2279806,-0.1475991,18.218363,2.3014467
2020-11-30,8.186725,5.832693,-0.18167621,18.249283,2.2174072
2020-12-01,8.186725,5.832693,-0.18167621,18.249283,2.2174072
2020-12-31,15.476341,6.272555,-1.2491267,23.807682,1.2484899
2021-01-01,15.476341,6.272555,-1.2491267,23.807682,1.2484899
2021-01-31,6.9185996,5.116037,0.50337136,18.076874,1.1890467
2021-02-01,6.5292907,5.0440707,0.6092759,18.589602,1.165049
2021-02-28,5.4635057,0.007476662,-1.0401886,15.665868,0.7952493
2021-03-01,5.396771,-0.03520775,-1.3021529,15.558318,3.4113889
2021-03-31,5.5571055,0.06592063,-1.4301393,15.696863,3.2616718
2021-04-01,5.733447,0.022553608,-1.520751,15.818124,2.2320957
2021-04-30,5.5825415,-0.16762803,-0.20953706,15.408818,2.418784
2021-05-01,5.3966265,-0.13600174,-0.117503695,15.281147,3.7603765
2021-05-31,14.560564,-1.4689335,-1.9065182,17.892523,4.6361184
2021-06-01,14.665527,-1.3834691,-1.4386317,18.252886,1.7680532
2021-06-30,5.453049,-3.1327074,0.45115787,13.14588,2.0797217
2021-07-01,6.499176,-3.072354,0.14792609,13.06902,2.0076904
2021-07-31,6.4908123,-3.0705752,0.23603764,13.076116,1.9613011
2021-08-01,5.866301,-3.1384158,0.416742,12.54533,2.049536
2021-08-31,6.3209643,-2.1884508,0.1501632,12.629819,1.997238
2021-09-01,5.8968396,-2.1784534,0.2551646,13.224958,1.9904617
2021-09-30,6.030055,-3.0479045,0.45726794,12.891193,2.3017612
2021-10-01,6.0757475,-3.1004453,0.49054772,12.346916,5.208364
2021-10-31,6.4269867,-2.4261165,0.54975873,12.267165,4.7947006
2021-11-01,6.4269867,-2.4261165,0.54975873,12.267165,4.7947006
2021-11-30,-0.82391864,0.968682,0.2050198,11.627944,2.3395855
2021-12-01,-1.1052897,1.01634,0.09919914,12.181986,-0.80757916
2021-12-31,-1.4400033,-3.1737099,0.27407315,9.632689,0.38713405
2022-01-01,-0.9510539,-3.4337313,0.1625317,9.290392,3.6215103
2022-01-31,-1.049916,-2.8145022,0.15920459,9.011604,3.0928655
2022-02-01,-1.2996453,-2.608489,-0.06204069,7.1271586,-1.1483519
2022-02-28,-1.415813,-2.290206,0.0072879717,7.2140455,-1.0766109
2022-03-01,-0.5289952,-0.6491797,-2.1579556,1.1994375,0.6448163
2022-03-31,-0.8149478,-0.23813874,-2.2767627,1.280831,0.63082486
2022-04-01,0.10344669,0.16289546,-2.1852975,0.97883373,0.3070634
2022-04-30,-0.21636698,-0.23785615,-2.2563457,0.93176323,0.18969278
2022-05-01,-0.070714116,1.9872915,-0.9701621,0.3900837,4.4373693
2022-05-31,0.04718841,2.1220498,-0.95253164,0.39396736,4.4983687
