Date,DXY,Oil_WTI,Gold,US_Fed_Rate,US_10Y_Yield
2019-11-30,0.99675906,-1.2519258,-0.6900967,-3.63991,3.4089732
2019-12-01,0.99675906,-1.2519258,-0.6900967,-3.63991,3.4089732
2019-12-31,1.3536668,-1.725392,-0.86868393,-3.5998616,3.5624413
2020-01-01,1.0947014,-1.6899292,-0.71748525,-3.7931898,2.9543529
2020-01-31,0.8308619,-2.7444844,-0.124509424,-3.6912282,2.6083121
2020-02-01,0.5546229,-2.7977183,-0.100022316,-3.4056056,2.8393836
2020-02-29,0.5110664,-2.2187653,-0.1371706,-3.5574567,2.2743833
2020-03-01,0.318958,-2.2991061,-0.45259503,-4.964164,0.7089683
2020-03-31,-0.08703556,0.19011022,0.36539587,-5.102939,0.7619917
2020-04-01,-0.10364971,1.9958941,1.7347157,5.6589684,2.9105086
2020-04-30,-0.114630856,2.0620582,1.8691508,5.6494193,2.9303288
2020-05-01,-0.114630856,2.0620582,1.8691508,5.6494193,2.9303288
2020-05-31,-0.026751705,2.4561083,1.4744917,6.009924,2.8459783
2020-06-01,-0.03896518,2.443341,1.4122275,6.0723352,2.7419174
2020-06-30,-0.086426824,2.7507875,1.5606163,6.008076,2.8329375
2020-07-01,0.06695427,3.0903761,1.127663,4.581955,3.2184422
2020-07-31,0.7788797,2.9223924,1.1897907,5.018401,3.4493423
2020-08-01,0.73010206,3.008948,1.1931827,4.319713,4.2508645
2020-08-31,0.117173046,3.152672,0.7511675,4.2931113,4.570756
2020-09-01,0.16595083,3.0661156,0.74777585,4.9917984,3.769233
2020-09-30,0.7788797,2.9223924,1.1897907,5.018401,3.4493423
2020-10-01,0.7788797,2.9223924,1.1897907,5.018401,3.4493423
2020-10-31,0.7233245,3.0057712,1.23039,4.6432977,3.454958
2020-11-01,0.7233245,3.0057712,1.23039,4.6432977,3.454958
2020-11-30,0.20381829,-0.517064,0.20318823,3.8825967,4.1332436
2020-12-01,0.20381829,-0.517064,0.20318823,3.8825967,4.1332436
2020-12-31,0.428316,-2.8075678,0.20386194,3.916549,4.254759
2021-01-01,0.428316,-2.8075678,0.20386194,3.916549,4.254759
2021-01-31,0.32939506,-1.0553586,-0.31166714,3.3805318,4.4591517
2021-02-01,0.17805137,-1.1899196,0.15820965,5.0137224,4.130907
2021-02-28,-0.14040954,-1.3186772,0.02720863,4.986038,4.3746223
2021-03-01,0.13033932,-1.2875696,0.043414693,4.8575654,3.898985
2021-03-31,1.4951264,-0.8288794,0.4738587,4.6240854,3.6594524
2021-04-01,1.3495024,-0.7669132,0.4128141,4.75086,1.9991255
2021-04-30,-0.07563166,-0.67118526,0.10577716,4.7555766,2.0024347
2021-05-01,0.041545805,-0.6715985,0.1971758,4.6223617,3.794946
2021-05-31,0.16052668,-0.7511835,0.10143103,4.5461817,3.741085
2021-06-01,-0.027944822,-0.6659993,0.12375,4.723471,4.316213
2021-06-30,-0.044368323,1.8762455,0.47365803,3.9104543,3.2319875
2021-07-01,0.076677576,1.8867933,-0.042820692,1.3590641,4.335865
2021-07-31,0.07236622,1.8867933,-0.05879346,1.3849328,4.336754
2021-08-01,0.12100901,1.8146291,-0.062185515,2.0980122,3.5065863
2021-08-31,0.35788026,0.73423755,-0.00539507,2.2791874,3.918028
2021-09-01,0.18139052,0.65784687,0.4782247,3.9705422,3.6622155
2021-09-30,0.8474262,2.221897,0.5596612,3.7131183,3.076915
2021-10-01,1.1321598,2.0306437,0.5289642,3.647055,2.3138216
2021-10-31,1.0893984,2.02673,0.537234,3.649899,2.2373507
2021-11-01,1.0893984,2.02673,0.537234,3.649899,2.2373507
2021-11-30,0.68150747,-0.42451772,0.30263332,4.6126447,2.9826245
2021-12-01,0.4591373,-0.44820315,0.3486916,4.6423664,3.598488
2021-12-31,0.6643998,2.4196453,0.56675106,3.86234,2.905991
2022-01-01,0.81084996,2.333206,0.082607836,4.160931,2.5653775
2022-01-31,0.97333246,3.3278902,0.26958802,4.084286,2.5958111
2022-02-01,1.087205,3.287117,0.21292236,3.8675084,4.3840246
2022-02-28,1.2439462,3.7873383,0.14004603,3.6221037,4.2000313
2022-03-01,1.4248854,5.0373607,-0.42991492,-0.35926056,4.8455777
2022-03-31,1.3410934,5.144889,-1.0640535,-0.40086532,4.4560575
